4,ERJ-3EKF1003V,100k
60,C0603C104K4RACTU,100nF
12,ERJ-3EKF1002V,10K
12,C0603C104K4RACTU,10uF
8,JMK212BJ106KD-T,10uF
12,ERJ-3EKF3000V,1k
8,GRM188R60J105KA01D,1uF
8,C1608C0G1H200JT,20pF
8,ERJ-3EKF2200V,220
8,ERJ-3EKF4701V,4.7k
4,CC0603KRX7R9BB472,4.7nF
4,ERJ-3EKF4993V,499K
4,ECS-80-20-4X,8Mhz
4,534-1294,BATTERY
2,BTM511,BTM511
8,68000-103HLF,CONN_3
4,68001-104HLF,CONN_4
16,68001-202HLF,JUMPER
4,LD1117DT33CTR,LD1117DT33C
4,LD1117DT50CTR,LD1117DT50C
4,APT2012SGC,LED_G
4,APT2012EC,LED_R
4,APT2012SYCK,LED_Y
12,77315-113-04LF,SRF02
4,SST25VF080B-80-4I-SAE,SST25VF080B
4,STM32F100RBT6B,STM32F100RBT6B
4,B3FS-1012,SWITCH

4,12BH614A-GR,CONN9V1
4,534-84-6,CONN9V2
16,63429-202LF,JMP
8,65240-002LF,CABL_2
8,M20-1060300,CABL_3
8,M20-1060400,CABL_4
100,170204-1,CABL_PIN

2,STM32VLDISCOVERY,DISCOVERY
2,DLP-USB232R,DLP